Kind,Kind2,Kind3,Kind4,Common Name,Common name2,Common name3,Common Name Common name2 Common name3,Bi or Trinomial Name,Sp Short Name,Kingdom,Phylum,Class,Order,Infraorder,Clade,Sub Order,Superfamily,Family,Sub family,Tribe,Genus,Sub Genus,Species,Sub species 1,Sub Species 2,Prior binomial name,Kind > Kind2 Kind3,"Genus > Species > 
 > Sub species 1","Common Name
 > Bi or Trinomial Name",Code1,Code2,Code3,,,,,,,,Original Order,Cleaned Name,Taxon ID,Match Level,Error,dwc:taxonID,Unmatched Names
Amphibian,Frog,,,Poison Dart Frog - Bumblebee,Bumblebee Poison Dart Frog,Bumblebee Poison Dart Frog,Poison Dart Frog - Bumblebee Bumblebee Poison Dart Frog Bumblebee Poison Dart Frog,"Dendrobates leucomelas sp. ""Bumblebee""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,leucomelas,"""Bumblebee""",,,Amphibian > Frog,"Dendrobates > leucomelas > 
 > ""Bumblebee""","Poison Dart Frog - Bumblebee
 > Dendrobates leucomelas sp. ""Bumblebee""",AMFRO,PDBMB,,,,,,,,,10,"dendrobates leucomelas sp ""bumblebee""",34M8X,species,,34M8X,
Amphibian,Frog,,,Poison Dart Frog - Yellow Banded,Yellow-Banded Poison Dart Frog,Yellow-Banded Poison Dart Frog,Poison Dart Frog - Yellow Banded Yellow-Banded Poison Dart Frog Yellow-Banded Poison Dart Frog,"Dendrobates leucomelas sp. ""Yellow Banded""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,leucomelas,"""Yellow Banded""",,,Amphibian > Frog,"Dendrobates > leucomelas > 
 > ""Yellow Banded""","Poison Dart Frog - Yellow Banded
 > Dendrobates leucomelas sp. ""Yellow Banded""",AMFRO,PDYLB,,,,,,,,,11,"dendrobates leucomelas sp ""yellow banded""",34M8X,species,,34M8X,
Amphibian,Frog,,,Poison Dart Frog - Blue,Poison Dart Frog - Blue ,Blue Poison Arrow Frog,Poison Dart Frog - Blue Poison Dart Frog - Blue  Blue Poison Arrow Frog,"Dendrobates tinctorius  sp. ""Azureus""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Azureus""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Azureus""","Poison Dart Frog - Blue
 > Dendrobates tinctorius sp. ""Azureus""",AMFRO,PDBLU,,,,,,,,,12,"dendrobates tinctorius sp ""azureus""",6CJSY,species,,6CJSY,
Amphibian,Frog,,,Poison Dart Frog - Azerus Blue,Azures Blue Poison Dart Frog,Azures blue poison dart frog,Poison Dart Frog - Azerus Blue Azures Blue Poison Dart Frog Azures blue poison dart frog,"Dendrobates tinctorius  sp. ""Azureus""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Azureus""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Azureus""","Poison Dart Frog - Azerus Blue
 > Dendrobates tinctorius sp. ""Azureus""",AMFRO,PDAZB,,,,,,,,,13,"dendrobates tinctorius sp ""azureus""",6CJSY,species,,6CJSY,
Amphibian,Frog,,,Poison Dart Frog - Tumucumaque,Tumucumaque Poison Dart Frog,Tumucumaque poison dart frog,Poison Dart Frog - Tumucumaque Tumucumaque Poison Dart Frog Tumucumaque poison dart frog,"Dendrobates tinctorius  sp. ""Tumucumaque""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Tumucumaque""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Tumucumaque""","Poison Dart Frog - Tumucumaque
 > Dendrobates tinctorius sp. ""Tumucumaque""",AMFRO,PDTUM,,,,,,,,,14,"dendrobates tinctorius sp ""tumucumaque""",6CJSY,species,,6CJSY,
Amphibian,Frog,,,Poison Dart Frog - Dyeing,Dyeing Poison Dart Frog,,Poison Dart Frog - Dyeing Dyeing Poison Dart Frog ,"Dendrobates tinctorius sp. ""Dyeing""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Dyeing""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Dyeing""","Poison Dart Frog - Dyeing
 > Dendrobates tinctorius sp. ""Dyeing""",AMFRO,PDDYE,,,,,,,,,15,"dendrobates tinctorius sp ""dyeing""",6CJSY,species,,6CJSY,
Amphibian,Frog,,,Poison Dart Frog - Arawape Blue,Awarape Blue Poison Dart Frog ,Dyeing Poison Dart Frog - Awarape Blue ,Poison Dart Frog - Arawape Blue Awarape Blue Poison Dart Frog  Dyeing Poison Dart Frog - Awarape Blue ,"Dendrobates tinctorius sp. ""Awarape Blue""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,,,,,Amphibian > Frog,Dendrobates >,"Poison Dart Frog - Arawape Blue
 > Dendrobates tinctorius sp. ""Awarape Blue""",AMFRO,PDARB,,,,,,,,,16,"dendrobates tinctorius sp ""awarape blue""",6CJSY,species,,6CJSY,
Amphibian,Frog,,,Poison Dart Frog - Blessed,Blessed Poison Dart Frog,Blessed Poison Dart Frog,Poison Dart Frog - Blessed Blessed Poison Dart Frog Blessed Poison Dart Frog,Ranitomeya benedicta,,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,,,,,Amphibian > Frog,Dendrobates >,"Poison Dart Frog - Blessed
 > Ranitomeya benedicta",AMFRO,PDBLS,,,,,,,,,17,ranitomeya benedicta,78T37,species,,78T37,
Amphibian,Frog,,,Poison Dart Frog - Spotted,Spotted Poison Dart Frog,Spotted Poison Dart Frog,Poison Dart Frog - Spotted Spotted Poison Dart Frog Spotted Poison Dart Frog,Ranitomeya vanzolinii,,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,,,,,Amphibian > Frog,Dendrobates >,"Poison Dart Frog - Spotted
 > Ranitomeya vanzolinii",AMFRO,PDSPT,,,,,,,,,18,ranitomeya vanzolinii,78SQX,species,,78SQX,
Amphibian,Frog,,,Malayan Horned Frog,,,Malayan Horned Frog  ,Megophrys nasuta,,Animalia,Chordata,Amphibia,Anura,,,,,Megophryidae,,,Megophrys,,nasuta,,,,Amphibian > Frog,Megophrys > nasuta,"Malayan Horned Frog
 > Megophrys nasuta",AMFRO,MYHOR,,,,,,,,,19,megophrys nasuta,3Z2BX,species,,3Z2BX,
